state,district,year,rainfall,groundwater_level,water_supply,irrigation_area,reservoir_capacity,water_quality,drinking_water_access
Karnataka,Raichur,2021,28.4,98.81,25.68,90.52,49.97,26.64,15.33
Odisha,Bhadrak,2023,63.54,67.32,62.81,72.9,49.69,69.45,72.47
Telangana,Medak,2025,91.29,92.83,35.46,49.13,24.06,99.06,10.35
Maharashtra,Wardha,2024,17.91,63.27,83.6,11.23,76.51,17.26,50.75
Telangana,Medak,2022,23.31,23.63,35.49,13.0,27.52,54.2,65.82
Jharkhand,West Singhbhum,2025,30.24,59.1,36.45,89.19,74.15,95.56,80.8
Bihar,Madhubani,2020,82.06,88.16,77.08,29.09,52.68,36.87,44.64
Bihar,Madhepura,2019,74.39,81.19,55.97,10.78,43.04,55.58,16.57
Meghalaya,Ri Bhoi,2025,30.78,25.84,63.08,84.42,37.11,32.8,64.58
Madhya Pradesh,Damoh,2023,84.4,29.92,52.94,18.49,21.13,28.41,82.39
Uttar Pradesh,Agra,2019,92.8,90.57,52.13,57.42,31.14,73.86,41.79
Gujarat,Amreli,2021,49.05,36.76,21.28,98.16,87.84,77.78,26.43
Meghalaya,Ri Bhoi,2017,24.05,69.76,76.72,11.19,96.19,72.82,93.27
Telangana,Hyderabad,2024,64.13,39.09,46.17,30.39,92.08,86.72,90.35
Maharashtra,Latur,2025,30.08,23.19,22.12,21.83,53.64,16.2,53.49
Odisha,Kendujhar (Keonjhar),2019,54.47,55.21,76.5,35.68,49.4,21.59,69.32
Himachal Pradesh,Kangra,2019,57.33,37.97,21.87,70.09,62.26,39.45,48.04
Odisha,Bargarh,2022,70.9,12.38,40.79,11.62,51.83,76.91,41.24
Uttar Pradesh,Sambhal,2020,26.18,89.55,16.9,50.05,65.38,42.68,78.63
Bihar,Begusarai,2024,32.21,69.76,32.54,90.81,46.93,97.0,68.98
Odisha,Balangir,2019,45.91,71.01,87.48,76.14,46.47,86.05,76.16
Goa,South Goa,2015,13.26,50.36,96.79,92.64,21.89,15.68,70.92
Rajasthan,Kotputli-Behror,2016,43.35,74.42,23.51,38.16,40.98,39.14,51.38
Rajasthan,Dausa,2020,81.56,44.29,69.85,75.87,77.79,93.52,99.88
Maharashtra,Thane,2017,36.81,84.63,98.93,70.65,25.66,64.9,53.13
Karnataka,Bidar,2020,28.1,86.52,95.17,28.83,51.06,24.65,12.62
Andhra Pradesh,Alluri Sitharama Raju,2019,17.33,81.96,27.38,52.73,85.86,78.24,67.91
Gujarat,Kutch,2019,94.67,59.49,28.94,80.99,27.25,69.49,25.63
Madhya Pradesh,Betul,2017,26.92,29.27,80.27,48.48,85.52,34.41,35.15
Rajasthan,Jalore,2021,32.99,96.32,68.83,82.99,89.74,88.14,95.29
Uttar Pradesh,Azamgarh,2023,50.42,28.13,82.14,32.03,22.68,29.91,94.12
Madhya Pradesh,Umaria,2023,92.95,91.6,87.64,45.33,90.32,99.57,48.46
Uttar Pradesh,Sant Kabir Nagar,2022,78.39,16.59,89.35,84.91,19.05,97.83,12.29
Kerala,Idukki,2021,64.87,95.15,84.62,84.94,81.23,60.89,38.38
Bihar,Madhepura,2015,79.09,39.14,28.93,93.81,94.01,62.11,92.0
West Bengal,Kolkata,2015,99.24,68.6,58.95,55.71,37.81,72.26,46.3
Maharashtra,Latur,2018,92.25,56.65,81.92,79.9,91.29,20.22,26.57
Bihar,Buxar,2019,90.89,49.96,98.75,89.65,68.85,79.02,74.92
Manipur,Tamenglong,2018,44.37,15.7,88.49,25.8,37.24,57.38,64.94
Punjab,Patiala,2022,80.88,59.77,14.31,60.14,44.43,41.33,37.3
Andhra Pradesh,Srikakulam,2023,61.09,42.04,74.46,87.51,76.18,87.79,55.16
Uttarakhand,Tehri Garhwal,2024,94.29,47.57,70.41,40.47,53.53,48.08,15.16
Uttar Pradesh,Agra,2022,60.9,82.2,50.07,17.58,61.67,87.66,48.9
Madhya Pradesh,Ujjain,2021,30.37,46.28,35.32,52.86,19.24,17.77,13.28
Chhattisgarh,Narayanpur,2022,73.05,22.53,54.19,17.74,43.06,81.6,55.8
Jharkhand,Latehar,2021,37.87,35.79,85.83,38.83,78.25,33.62,85.14
Maharashtra,Nanded,2023,77.93,13.41,78.64,92.41,13.5,85.81,23.86
Kerala,Ernakulam,2024,64.74,26.43,14.1,20.42,31.81,50.8,88.44
Bihar,Rohtas,2023,89.78,78.84,60.98,83.05,26.62,79.41,73.67
Madhya Pradesh,Alirajpur,2021,77.43,83.12,74.75,81.67,51.59,50.96,60.7
Arunachal Pradesh,Tawang,2023,63.38,54.68,74.17,74.21,93.97,16.96,28.78
Odisha,Gajapati,2024,16.93,33.51,91.08,37.0,22.06,33.83,66.71
Madhya Pradesh,Shajapur,2016,40.34,57.97,78.0,47.73,26.88,47.95,30.87
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,2022,75.83,64.13,53.23,96.88,89.33,67.03,58.22
Chhattisgarh,Kondagaon,2021,78.77,26.84,95.95,29.97,32.29,25.17,74.99
Kerala,Malappuram,2018,41.12,58.29,24.74,64.15,44.16,98.74,82.86
Himachal Pradesh,Sirmaur,2016,55.19,44.95,69.6,86.7,22.04,40.56,61.69
Tripura,Dhalai,2017,60.54,89.97,11.92,43.33,95.13,59.94,49.24
Nagaland,Mon,2025,30.38,55.49,53.71,29.55,21.44,10.33,46.13
Jharkhand,Dhanbad,2024,68.47,89.42,19.19,99.15,38.42,68.89,55.74
Maharashtra,Washim,2018,65.94,70.58,69.1,44.29,36.2,80.79,81.91
Nagaland,Noklak,2022,16.81,39.23,34.41,66.0,63.14,77.5,46.65
Tamil Nadu,Perambalur,2020,12.7,23.79,16.45,89.47,55.42,66.69,75.26
Maharashtra,Nandurbar,2022,55.58,78.08,92.87,32.06,21.71,31.11,87.84
Goa,South Goa,2019,31.4,55.62,94.16,62.4,90.63,34.69,95.76
Uttar Pradesh,Lakhimpur Kheri,2023,90.69,45.07,25.7,51.79,32.41,31.93,61.92
Andhra Pradesh,Sri Potti Sriramulu Nellore,2018,43.37,90.92,37.13,63.56,22.79,86.1,68.1
Bihar,Muzaffarpur,2017,54.38,54.22,16.2,91.0,63.97,19.85,17.3
Odisha,Kalahandi,2021,91.16,45.6,28.28,28.15,76.51,63.95,57.64
Uttar Pradesh,Saharanpur,2022,31.99,67.31,36.1,33.85,32.65,56.12,14.36
Assam,Dima Hasao,2017,46.19,79.83,32.82,28.88,23.61,38.27,55.99
Assam,Jorhat,2024,40.86,86.65,21.33,55.46,50.86,51.8,93.85
Maharashtra,Washim,2025,76.5,61.67,46.94,90.35,83.07,53.88,91.47
Uttar Pradesh,Pilibhit,2017,52.3,90.61,18.89,12.27,15.94,36.75,14.49
Kerala,Idukki,2018,40.38,88.06,74.6,45.52,58.89,62.76,93.55
Karnataka,Chikkamagaluru,2017,98.7,78.75,95.45,42.43,87.18,23.29,25.58
Bihar,Banka,2017,54.48,85.26,19.0,86.14,22.4,10.28,38.16
Assam,Majuli,2025,77.74,63.78,75.77,80.71,97.57,52.49,58.05
Tamil Nadu,Karur,2024,98.57,81.5,11.41,27.87,48.41,12.84,75.53
Jharkhand,Giridih,2015,75.24,76.9,16.76,92.06,51.32,73.38,42.53
Odisha,Koraput,2015,38.15,80.07,91.54,70.94,74.01,63.38,59.27
Bihar,Nalanda,2018,63.35,44.86,18.97,36.81,56.81,83.0,94.56
Uttar Pradesh,Mau,2025,20.35,23.09,55.65,66.76,59.85,10.9,37.38
Karnataka,Gadag,2022,64.28,46.92,27.16,66.53,95.75,94.73,34.76
Telangana,Adilabad,2018,16.12,46.6,77.31,17.25,63.09,13.38,59.62
Punjab,Kapurthala,2016,75.68,64.22,79.9,39.92,96.98,76.6,52.17
Telangana,Vikarabad,2021,82.4,45.43,57.84,37.17,63.74,96.04,94.14
Maharashtra,Palghar,2024,43.77,71.15,33.07,79.75,98.65,40.6,24.24
Bihar,Vaishali,2019,63.06,31.03,53.87,74.92,72.47,57.64,36.49
Uttar Pradesh,Ballia,2019,93.6,98.35,42.8,31.41,78.28,18.07,76.23
Meghalaya,Ri Bhoi,2023,93.08,58.87,13.95,87.09,73.43,22.81,39.93
Rajasthan,Pratapgarh,2016,68.07,65.19,45.43,58.55,58.91,62.04,18.99
Karnataka,Mandya,2023,87.88,67.56,64.3,73.23,80.76,25.57,67.14
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,32.76,29.12,28.8,12.51,82.43,71.5,16.88
Gujarat,Gir Somnath,2019,12.89,33.44,17.36,72.19,40.46,64.66,74.16
Jharkhand,Godda,2018,29.95,14.86,30.52,97.48,36.31,30.32,94.34
West Bengal,North 24 Parganas,2025,43.87,40.23,30.04,41.44,84.02,20.3,32.04
Tamil Nadu,Virudhunagar,2017,51.69,83.95,39.95,23.94,83.03,81.63,52.21
Manipur,Bishnupur,2019,78.03,41.62,50.57,82.89,67.22,85.07,51.27
Arunachal Pradesh,Tawang,2023,87.69,68.25,90.2,29.93,68.44,69.03,22.8
Telangana,Yadadri Bhuvanagiri,2017,30.95,59.25,78.91,84.21,47.74,22.84,85.08
Bihar,Nalanda,2024,93.56,24.67,46.81,36.3,93.52,40.5,98.13
Nagaland,Zunheboto,2022,76.23,49.28,59.57,84.13,77.3,90.76,43.02
Punjab,Rupnagar,2022,54.81,21.46,96.59,20.71,70.78,16.54,30.69
Maharashtra,Sangli,2016,52.54,75.57,82.05,89.82,51.45,61.87,76.05
Rajasthan,Dausa,2018,14.25,25.29,77.93,36.82,70.92,36.14,63.4
Nagaland,Shamator,2020,69.74,99.81,79.22,99.41,66.68,81.35,49.6
Madhya Pradesh,Niwari,2024,49.97,82.61,47.69,45.9,96.98,38.51,10.63
West Bengal,Paschim Bardhaman,2020,61.85,19.66,43.53,18.86,77.59,40.79,81.44
Gujarat,Surat,2018,35.19,48.94,99.25,37.8,28.74,81.23,80.06
Karnataka,Haveri,2019,55.02,11.62,59.58,59.64,36.49,92.34,68.88
Madhya Pradesh,Shahdol,2022,87.71,34.66,23.48,23.45,16.71,32.63,25.17
Rajasthan,Jaisalmer,2019,39.86,10.76,61.23,67.86,55.37,45.43,50.75
Maharashtra,Dhule,2020,52.37,57.93,76.24,70.34,26.57,38.51,95.88
Bihar,Patna,2021,56.09,36.53,41.6,50.48,72.2,57.54,15.6
Chhattisgarh,Gaurela-Pendra-Marwahi,2024,65.6,66.57,86.17,82.24,52.35,92.65,85.74
Karnataka,Dharwad,2024,19.36,79.6,36.87,84.73,51.18,42.13,94.09
Karnataka,Chitradurga,2019,76.02,85.6,20.49,96.48,54.48,46.43,67.29
Tamil Nadu,Ariyalur,2018,87.87,70.24,84.64,18.69,98.98,60.39,26.19
Karnataka,Dakshina Kannada,2015,98.75,15.74,73.68,75.54,92.89,47.88,41.43
Karnataka,Dharwad,2016,54.62,11.49,76.47,14.83,34.18,71.59,12.99
Nagaland,Tuensang,2022,90.31,38.64,24.57,97.43,57.92,16.49,68.34
Andhra Pradesh,Eluru,2018,17.59,60.42,14.86,72.57,52.38,12.82,28.44
Odisha,Boudh,2020,24.77,24.2,89.41,25.26,14.74,87.67,94.16
Uttar Pradesh,Banda,2017,80.27,26.92,41.97,58.83,16.36,20.52,31.46
Madhya Pradesh,Dindori,2016,13.57,43.94,60.13,54.2,21.33,29.43,39.4
Maharashtra,Raigad,2025,79.74,22.88,63.7,83.1,64.75,77.33,88.0
Arunachal Pradesh,Kamle,2020,76.18,52.41,66.19,30.33,82.15,99.49,57.09
Uttar Pradesh,Rampur,2016,30.27,54.86,53.76,36.67,61.53,74.45,27.4
Telangana,Hanamkonda,2019,79.36,68.3,77.28,52.65,83.31,52.6,23.44
Chhattisgarh,Korea,2024,30.95,20.26,53.62,29.58,84.6,99.14,72.57
Madhya Pradesh,Vidisha,2020,79.42,14.46,40.21,61.77,84.14,18.11,57.05
Assam,Hailakandi,2019,26.87,58.98,62.05,95.45,74.99,46.34,83.84
Maharashtra,Nanded,2025,24.35,24.37,36.41,50.33,59.93,21.72,17.46
Nagaland,Tseminyu,2015,80.08,91.09,79.95,43.78,24.41,43.15,45.15
Nagaland,Mon,2017,72.62,27.12,87.24,40.06,82.55,63.5,95.01
Assam,Goalpara,2016,80.39,29.44,83.65,73.49,88.63,83.69,49.91
Bihar,Kishanganj,2018,94.82,47.74,23.14,58.67,23.51,87.08,15.88
Mizoram,Serchhip,2024,54.41,36.01,90.37,35.75,52.99,12.74,44.87
Telangana,Yadadri Bhuvanagiri,2016,68.64,90.76,86.72,54.27,44.16,62.31,91.05
Uttar Pradesh,Budaun,2023,42.39,37.73,96.26,48.12,76.27,97.16,96.5
Himachal Pradesh,Hamirpur,2021,70.3,92.4,35.61,75.8,25.32,39.28,72.15
Telangana,Mahabubabad,2020,58.45,91.52,20.29,37.28,62.37,13.24,68.66
Madhya Pradesh,Dewas,2018,11.21,52.19,67.49,57.45,86.38,66.83,89.07
Chhattisgarh,Jashpur,2022,92.27,19.12,37.61,85.3,90.65,52.37,13.86
Uttarakhand,Almora,2017,98.21,37.86,40.18,35.64,26.49,96.95,20.58
Rajasthan,Sanchore,2025,70.31,39.79,18.13,80.03,23.22,28.18,85.2
Madhya Pradesh,Barwani,2021,77.07,94.2,41.85,35.95,85.88,94.78,23.53
Uttar Pradesh,Siddharthnagar,2020,54.41,50.91,49.02,28.75,37.85,95.86,98.83
Arunachal Pradesh,Lower Subansiri,2018,79.64,27.68,62.65,16.58,65.04,16.65,36.34
Madhya Pradesh,Umaria,2024,14.92,45.56,23.83,75.0,27.97,97.17,75.22
Uttar Pradesh,Bulandshahr,2025,24.62,43.04,95.25,11.09,88.06,34.24,64.95
Rajasthan,Sirohi,2015,40.67,46.21,10.96,45.36,72.64,62.04,57.27
Andhra Pradesh,Parvathipuram Manyam,2020,45.83,96.49,98.78,94.46,90.49,47.81,12.62
Odisha,Bargarh,2020,62.07,27.52,86.55,27.55,22.41,19.89,43.79
Manipur,Churachandpur,2016,49.77,20.62,13.31,19.27,69.17,65.43,77.41
Karnataka,Raichur,2015,86.55,65.23,79.66,34.51,36.64,52.48,45.65
Madhya Pradesh,Shajapur,2016,34.25,70.06,87.94,83.47,52.66,23.55,62.98
Rajasthan,Jhalawar,2018,19.35,44.46,63.21,62.43,17.11,44.86,24.77
Uttar Pradesh,Azamgarh,2015,15.1,38.01,31.92,31.75,85.76,31.47,55.27
Rajasthan,Sanchore,2023,97.95,68.07,50.0,63.84,89.39,38.2,44.84
Gujarat,Amreli,2015,96.92,52.5,78.93,75.0,66.73,24.68,67.62
West Bengal,Jalpaiguri,2017,51.37,93.92,92.71,74.08,45.21,30.0,68.5
Madhya Pradesh,Raisen,2024,78.02,88.18,84.32,91.83,24.17,23.97,93.61
Bihar,Gopalganj,2016,18.97,61.78,47.47,38.28,45.15,83.22,71.1
Assam,Golaghat,2024,90.42,64.73,17.75,27.6,40.26,33.85,10.49
Himachal Pradesh,Bilaspur,2025,83.7,27.69,34.17,11.55,49.17,43.03,20.57
Rajasthan,Beawar,2016,27.11,85.99,91.21,79.76,88.79,73.83,70.42
Gujarat,Botad,2022,52.33,47.85,41.32,49.74,51.18,93.24,32.67
Kerala,Idukki,2015,90.43,62.47,30.87,63.48,57.55,40.52,86.76
Assam,Sivasagar,2018,82.0,75.18,44.16,56.52,82.34,81.1,91.29
Odisha,Jagatsinghpur,2023,82.97,97.6,33.86,98.43,49.98,53.07,75.85
Uttar Pradesh,Siddharthnagar,2019,91.85,88.64,39.96,48.11,86.63,97.21,63.0
Meghalaya,Ri Bhoi,2021,73.43,23.5,82.52,15.34,20.25,81.16,95.68
Maharashtra,Hingoli,2024,80.81,89.52,21.86,39.5,13.56,30.64,14.4
Assam,Nagaon,2024,81.2,81.09,92.92,15.54,11.49,12.98,39.62
Manipur,Kangpokpi,2017,89.17,21.59,14.2,59.6,83.7,79.19,19.05
Odisha,Ganjam,2020,63.07,97.69,53.89,52.56,36.9,55.06,75.05
Telangana,Nirmal,2018,55.38,52.08,20.31,53.89,32.17,84.43,96.31
Rajasthan,Bundi,2024,63.35,23.79,67.85,65.42,71.17,94.41,79.47
Arunachal Pradesh,Pakke-Kessang,2023,98.24,79.77,35.25,61.13,66.6,76.54,94.7
Rajasthan,Dholpur,2025,40.31,19.37,36.84,46.11,72.1,72.67,65.97
Jharkhand,Khunti,2019,45.02,98.24,53.34,92.31,40.48,72.59,50.35
Punjab,Mansa,2019,65.8,67.58,25.95,46.52,83.99,55.52,22.51
Rajasthan,Jodhpur,2016,80.17,50.47,50.47,31.34,78.62,77.72,69.19
Maharashtra,Nashik,2023,89.12,43.37,24.6,34.45,11.41,90.34,74.86
Madhya Pradesh,Ujjain,2025,89.33,59.05,85.03,32.64,88.24,28.15,50.06
Jharkhand,Ranchi,2019,79.87,62.4,81.61,19.17,92.25,54.64,69.32
Punjab,Barnala,2019,26.13,82.22,39.53,17.47,53.71,60.33,34.71
Nagaland,Wokha,2018,80.41,33.21,40.16,64.24,99.14,98.62,79.17
Bihar,Aurangabad,2015,65.43,92.36,46.6,89.45,69.45,70.8,25.24
Tamil Nadu,Tiruchirappalli,2023,36.98,51.66,81.77,82.51,67.0,89.11,49.61
Madhya Pradesh,Vidisha,2018,68.17,69.03,75.65,55.11,18.9,48.62,25.36
Meghalaya,West Khasi Hills,2017,22.31,40.13,41.17,52.8,24.42,23.8,81.58
Madhya Pradesh,Sagar,2019,64.87,29.91,67.95,92.11,75.44,28.58,23.34
Telangana,Hanamkonda,2022,21.27,85.29,46.47,72.95,45.83,50.69,96.65
Rajasthan,Sawai Madhopur,2023,16.29,61.68,10.78,36.49,41.96,18.15,40.91
Bihar,Jehanabad,2022,17.05,20.71,76.02,67.04,26.47,15.17,95.79
Nagaland,Wokha,2017,26.02,27.39,93.49,50.38,55.13,50.31,69.22
Kerala,Palakkad,2017,86.47,32.77,67.35,62.86,52.26,26.74,94.06
Karnataka,Yadgir,2019,79.66,39.22,78.0,12.26,78.7,54.81,94.14
Jharkhand,Seraikela-Kharsawan,2023,29.21,40.99,65.12,29.49,82.95,20.86,78.28
Andhra Pradesh,Eluru,2025,50.06,49.03,44.16,98.02,47.76,64.64,83.34
Odisha,Boudh,2021,73.71,93.87,35.47,68.39,10.01,13.24,30.96
Arunachal Pradesh,Pakke-Kessang,2020,20.2,30.32,31.02,61.89,97.49,85.81,69.84
Maharashtra,Dhule,2017,55.72,10.1,66.62,12.39,28.01,32.28,72.78
Madhya Pradesh,Raisen,2023,69.4,48.65,57.86,25.4,96.42,85.89,43.88
Himachal Pradesh,Chamba,2021,64.83,22.44,91.88,62.94,42.81,40.43,14.54
Gujarat,Dahod,2020,21.94,18.07,92.45,33.6,17.98,11.93,67.0
Rajasthan,Balotra,2018,33.29,11.86,62.24,23.49,30.32,65.72,45.8
Mizoram,Hnahthial,2020,15.16,46.26,61.14,30.17,83.46,22.02,31.95
Bihar,Muzaffarpur,2019,88.77,34.07,94.17,30.78,60.8,85.51,45.23
Odisha,Sundargarh,2020,16.76,20.71,15.25,82.55,43.56,77.18,23.5
Jharkhand,Ranchi,2015,97.85,89.31,99.85,69.86,64.03,54.05,82.08
Rajasthan,Kota,2020,68.6,74.96,94.24,26.59,27.29,27.15,15.13
Gujarat,Kutch,2019,55.66,53.7,63.9,59.81,72.32,45.98,77.0
Assam,Nagaon,2020,21.59,73.03,54.27,28.68,97.74,47.08,59.83
Chhattisgarh,Gaurela-Pendra-Marwahi,2017,24.46,21.32,54.38,47.24,12.29,30.29,26.07
Andhra Pradesh,Visakhapatnam,2020,90.25,44.21,80.34,87.47,63.54,24.61,32.34
West Bengal,Purba Medinipur,2015,76.89,50.49,96.71,11.08,96.01,71.81,20.18
Himachal Pradesh,Sirmaur,2020,50.61,46.01,91.29,73.71,65.83,35.22,30.07
Telangana,Mancherial,2023,94.67,71.92,39.65,70.09,91.86,11.55,33.14
Karnataka,Belagavi,2024,49.5,53.37,72.06,10.12,33.67,99.72,24.93
Arunachal Pradesh,Lower Siang,2015,59.03,55.06,46.06,71.5,89.58,61.51,20.77
Odisha,Nayagarh,2023,38.02,15.37,70.6,18.56,10.75,89.6,37.6
Andhra Pradesh,Krishna,2019,73.09,38.7,62.65,63.85,87.41,50.01,98.11
Uttarakhand,Haridwar,2015,60.6,54.25,46.65,79.59,35.04,90.3,64.68
Chhattisgarh,Bastar,2021,95.11,29.44,29.37,76.96,60.86,54.97,72.88
Tamil Nadu,Tirupathur,2025,49.03,96.96,63.43,19.1,98.67,95.24,40.12
Assam,South Salmara-Mankachar,2025,58.9,90.9,84.28,13.43,96.76,69.42,66.2
Uttar Pradesh,Sultanpur,2022,80.59,93.88,59.27,78.9,72.42,43.36,54.92
Kerala,Pathanamthitta,2022,51.89,78.87,41.8,13.77,24.35,24.17,65.38
Maharashtra,Parbhani,2025,15.56,60.61,87.23,51.04,65.75,47.4,68.27
Nagaland,Zunheboto,2019,13.07,27.78,68.75,73.7,80.37,25.87,47.2
Chhattisgarh,Dhamtari,2024,51.43,53.02,15.63,14.8,41.5,12.9,61.54
Jharkhand,Simdega,2015,86.74,32.29,22.59,32.0,59.69,84.36,72.09
Jharkhand,Dhanbad,2015,45.2,56.11,10.89,41.5,42.79,43.3,34.88
Gujarat,Gir Somnath,2021,88.77,10.28,55.31,65.88,56.15,53.62,81.11
Tripura,North Tripura,2018,26.58,56.79,32.12,50.26,31.75,55.65,74.07
Chhattisgarh,Narayanpur,2015,18.88,92.18,83.43,29.0,47.19,36.21,96.93
Assam,Kamrup Metropolitan,2024,32.15,69.18,76.8,57.57,84.59,88.01,60.29
Telangana,Nirmal,2016,58.05,92.99,76.88,65.27,69.57,29.37,44.91
Punjab,Mansa,2022,80.43,87.34,81.28,22.47,40.85,76.26,39.64
Karnataka,Shivamogga,2015,12.96,35.42,75.22,98.19,60.33,29.7,82.08
Tamil Nadu,Vellore,2022,49.32,61.31,32.44,84.12,18.95,55.15,59.93
Uttar Pradesh,Muzaffarnagar,2018,42.56,11.56,34.5,53.97,68.83,41.12,11.18
Telangana,Mulugu,2016,13.52,10.41,30.07,90.05,86.58,77.56,24.32
Rajasthan,Jhalawar,2023,65.66,32.34,57.34,23.78,91.22,55.53,87.45
Punjab,Rupnagar,2017,63.41,36.22,77.02,29.83,63.14,35.92,41.97
Meghalaya,South West Garo Hills,2021,92.54,57.38,39.67,91.79,25.45,57.8,84.93
Odisha,Bargarh,2020,55.39,74.8,41.95,23.1,69.97,84.79,36.16
Telangana,Adilabad,2022,18.86,11.12,57.41,71.42,13.6,25.65,41.56
Maharashtra,Satara,2015,30.16,42.63,11.55,63.67,91.18,67.78,28.98
Madhya Pradesh,Anuppur,2016,11.3,33.01,94.31,17.68,76.19,78.91,26.4
Karnataka,Chamarajanagar,2021,66.38,29.4,53.72,81.0,20.1,13.53,11.93
Uttar Pradesh,Agra,2024,66.24,20.57,45.0,42.48,38.77,19.6,65.03
Telangana,Nagarkurnool,2019,70.11,39.0,26.46,48.96,85.19,40.98,99.93
Uttar Pradesh,Pilibhit,2018,84.54,91.97,89.5,82.74,59.37,51.55,20.26
Chhattisgarh,Mungeli,2018,64.84,69.04,37.63,77.23,99.55,70.54,24.2
Haryana,Yamunanagar,2025,41.84,41.05,33.73,35.71,61.25,73.79,12.81
Meghalaya,North Garo Hills,2024,52.96,18.4,21.28,96.12,24.96,41.15,27.54
Bihar,Nalanda,2025,15.1,43.55,25.48,81.31,52.78,56.83,23.82
Rajasthan,Bharatpur,2021,74.34,56.66,46.44,45.45,20.63,27.89,42.94
Odisha,Angul,2021,72.76,85.33,83.52,24.88,36.23,42.84,90.05
Karnataka,Raichur,2017,56.53,59.7,53.04,34.95,84.66,86.77,13.35
Mizoram,Lawngtlai,2019,90.18,31.37,43.18,37.29,62.14,55.01,89.95
Rajasthan,Nagaur,2022,98.57,84.65,98.51,10.67,39.76,47.46,90.75
Uttar Pradesh,Auraiya,2017,37.03,93.55,70.6,56.42,41.8,42.53,80.42
Himachal Pradesh,Kangra,2015,36.44,64.52,83.37,33.57,59.98,84.76,31.27
Madhya Pradesh,Seoni,2020,67.56,99.12,13.88,27.1,10.51,25.43,84.35
Punjab,Ludhiana,2016,15.88,20.16,34.34,82.24,94.24,90.82,37.11
Assam,South Salmara-Mankachar,2023,15.95,35.61,52.78,91.32,37.01,60.21,68.39
Haryana,Yamunanagar,2022,25.61,41.72,53.33,13.0,71.35,75.44,96.82
Karnataka,Shivamogga,2023,42.26,58.44,82.97,94.13,77.85,70.93,64.0
Tamil Nadu,Cuddalore,2022,90.82,88.45,68.44,11.23,42.42,39.59,79.43
Jharkhand,Simdega,2025,14.39,43.94,98.78,26.79,46.5,45.02,20.5
Gujarat,Botad,2015,72.93,38.3,70.98,70.73,59.35,56.49,83.89
Maharashtra,Dhule,2017,60.73,49.93,42.12,59.4,50.17,40.64,58.13
Haryana,Rohtak,2015,37.8,36.92,33.76,52.24,56.03,81.04,69.83
Karnataka,Dharwad,2023,96.45,19.09,42.47,70.53,33.79,84.32,96.69
Punjab,Ferozepur,2022,95.19,37.94,57.35,52.49,79.87,50.84,59.49
Rajasthan,Karauli,2020,27.02,70.43,44.37,70.08,69.14,53.93,42.64
Rajasthan,Jaipur,2016,54.21,82.76,91.03,47.21,28.29,28.05,51.85
Madhya Pradesh,Shajapur,2015,70.86,54.63,99.24,60.1,100.0,16.45,39.51
Arunachal Pradesh,Tirap,2020,27.0,80.68,39.3,14.08,95.9,46.27,27.12
Manipur,Kangpokpi,2022,65.65,88.97,45.53,79.74,18.53,84.76,73.12
Haryana,Panchkula,2018,21.67,76.69,27.43,44.76,86.0,74.89,11.4
Rajasthan,Balotra,2023,54.43,71.88,64.84,56.45,78.3,27.79,23.86
Bihar,Bhagalpur,2022,44.21,69.89,48.28,24.33,93.95,26.58,75.26
Chhattisgarh,Sarangarh-Bilaigarh,2019,94.88,11.68,94.63,24.34,44.17,13.81,99.28
Gujarat,Anand,2025,79.57,44.29,92.77,24.62,10.55,18.52,19.6
West Bengal,Murshidabad,2025,95.07,43.13,56.17,43.46,15.87,73.38,13.82
Telangana,Vikarabad,2023,42.98,85.6,83.07,71.97,36.59,24.98,17.32
Gujarat,Ahmedabad,2022,42.34,67.08,93.26,97.57,30.33,87.02,95.12
West Bengal,Purba Medinipur,2019,43.41,96.09,42.03,91.95,47.31,47.05,10.69
Rajasthan,Jhalawar,2015,35.2,75.19,82.9,36.21,40.41,88.16,62.76
Tamil Nadu,Thiruvallur,2015,77.28,82.66,40.31,11.22,40.95,66.56,91.79
Tamil Nadu,Sivaganga,2015,93.53,89.78,20.3,22.02,27.94,98.59,25.62
Mizoram,Kolasib,2021,89.6,66.91,24.32,66.65,21.74,87.6,20.15
Madhya Pradesh,Bhopal,2024,80.92,13.76,74.45,51.59,36.47,94.27,69.75
Uttarakhand,Uttarkashi,2023,93.55,91.14,35.74,90.14,47.2,85.68,78.49
Uttarakhand,Champawat,2025,97.31,78.73,73.94,89.45,88.54,76.46,29.26
Madhya Pradesh,Niwari,2015,86.37,47.26,61.89,48.62,66.74,27.14,83.18
Mizoram,Lawngtlai,2016,11.37,36.53,81.94,82.63,24.22,64.56,44.6
Punjab,Bathinda,2020,36.72,15.75,26.39,20.08,87.06,18.64,45.97
Jharkhand,Seraikela-Kharsawan,2016,28.17,46.63,64.61,48.56,98.12,49.65,59.86
Madhya Pradesh,Agar Malwa,2025,47.42,15.52,39.5,84.75,65.54,77.14,95.03
Karnataka,Koppal,2024,99.93,25.26,57.37,97.39,64.06,24.91,53.1
Mizoram,Saiha,2021,80.83,49.04,84.98,59.81,37.91,69.38,76.94
Tamil Nadu,Kanchipuram,2016,13.44,70.17,26.69,67.67,54.32,82.59,68.47
Nagaland,Wokha,2022,30.66,31.41,35.48,12.37,88.42,80.06,78.01
