state,district,year,houses_built,construction_cost,urban_housing_index,rural_housing_index,housing_demand,housing_supply,construction_growth
Himachal Pradesh,Sirmaur,2025,73.87,75.07,63.61,19.37,12.56,26.23,48.22
Bihar,Gaya,2023,75.51,35.96,30.85,78.16,55.04,17.73,21.24
Andhra Pradesh,Parvathipuram Manyam,2023,67.4,27.42,42.69,86.08,50.02,96.4,48.73
Tamil Nadu,Karur,2023,46.84,53.27,40.7,85.73,75.34,57.02,21.47
Gujarat,Patan,2016,59.45,49.57,47.93,76.98,14.26,67.56,55.68
Jharkhand,Chatra,2020,29.57,69.67,11.82,80.9,21.13,58.04,18.17
West Bengal,Paschim Medinipur,2015,45.37,27.27,45.77,28.26,84.36,67.65,27.69
Uttar Pradesh,Balrampur,2016,52.07,81.49,47.75,83.07,23.12,50.2,81.99
Tripura,South Tripura,2016,27.12,73.07,93.36,11.56,64.68,45.91,69.62
Bihar,Araria,2024,10.13,13.43,14.29,69.94,44.17,11.06,74.12
Tamil Nadu,Thiruvarur,2025,36.57,32.57,27.54,69.41,66.23,38.19,40.94
Gujarat,Dang,2016,44.86,92.68,38.74,54.65,82.51,27.03,87.69
Punjab,Malerkotla,2021,60.79,97.51,36.24,48.77,12.35,43.06,96.43
Telangana,Hanamkonda,2015,98.08,58.47,57.17,87.36,98.46,21.38,73.72
Assam,Kamrup Metropolitan,2018,98.29,46.64,97.82,20.52,57.79,37.18,50.63
Jharkhand,Simdega,2019,83.76,37.47,92.26,12.82,47.94,76.5,79.05
Arunachal Pradesh,Tawang,2017,34.73,54.46,23.16,55.88,93.11,73.29,14.02
Jharkhand,Hazaribagh,2024,73.67,58.12,39.76,84.72,74.95,52.94,88.93
Uttar Pradesh,Muzaffarnagar,2021,30.13,41.89,83.82,77.76,52.94,52.13,20.31
Mizoram,Lawngtlai,2023,22.05,58.39,57.92,44.98,86.75,31.25,65.33
Tamil Nadu,Sivaganga,2018,47.69,85.27,20.26,49.09,28.49,79.3,13.57
Chhattisgarh,Mohla-Manpur-Ambagarh Chowki,2018,60.62,29.42,39.21,58.42,35.85,77.59,48.04
Chhattisgarh,Sarangarh-Bilaigarh,2017,65.75,38.55,21.68,53.33,30.68,90.79,88.55
Chhattisgarh,Manendragarh-Chirmiri-Bharatpur,2019,94.02,28.44,43.08,64.02,81.06,55.22,96.72
Rajasthan,Dholpur,2020,37.64,52.05,61.69,90.27,14.17,19.42,91.97
Arunachal Pradesh,Changlang,2017,97.11,31.32,49.85,50.26,82.48,93.15,72.05
Tamil Nadu,Ariyalur,2025,89.13,85.4,52.37,55.01,48.13,85.77,69.93
Andhra Pradesh,Parvathipuram Manyam,2019,99.15,85.36,49.18,29.59,27.02,26.78,87.25
Chhattisgarh,Baloda Bazar,2018,85.96,98.72,52.67,10.73,81.82,42.72,39.45
Uttar Pradesh,Firozabad,2025,90.95,61.24,80.36,85.02,39.17,52.63,30.43
Gujarat,Tapi,2017,55.7,18.48,38.69,62.66,16.95,86.98,83.21
Madhya Pradesh,Sagar,2023,81.4,96.14,79.24,63.64,20.26,38.44,99.9
Assam,Goalpara,2019,70.67,63.04,60.37,63.3,53.34,70.28,25.24
Telangana,Khammam,2017,50.01,56.11,30.34,53.33,47.9,70.11,86.56
Gujarat,Bhavnagar,2025,36.43,11.86,52.63,19.39,10.19,68.84,85.84
Uttar Pradesh,Rae Bareli,2023,29.68,77.92,24.19,74.57,56.71,50.15,33.73
Assam,Goalpara,2016,44.73,89.6,19.05,43.71,77.22,91.5,97.31
Uttar Pradesh,Siddharthnagar,2016,71.2,77.58,40.1,39.63,53.46,96.03,50.27
Meghalaya,West Garo Hills,2018,93.87,27.16,27.37,14.35,87.62,93.6,78.69
Maharashtra,Ahmednagar,2024,19.52,56.05,60.38,73.31,34.82,20.53,92.78
Tamil Nadu,Thiruvallur,2016,93.76,57.9,27.95,89.36,14.66,43.21,29.8
Assam,Chirang,2022,71.03,54.44,96.3,88.5,86.76,69.39,48.78
Maharashtra,Kolhapur,2015,16.56,16.07,81.36,49.39,96.88,85.33,15.67
Karnataka,Vijayapura,2019,49.13,73.79,28.51,24.65,37.45,13.32,84.86
Kerala,Idukki,2021,12.28,63.45,50.14,56.97,57.04,92.12,77.39
Rajasthan,Kekri,2021,37.61,89.45,94.45,40.69,94.69,77.41,10.79
Rajasthan,Kota,2020,79.25,71.69,49.79,17.64,41.48,30.68,97.82
Uttar Pradesh,Kasganj,2025,48.81,61.4,76.69,56.15,35.51,43.68,86.8
Tamil Nadu,Tiruchirappalli,2019,91.1,37.04,67.45,88.3,12.98,23.59,21.7
Tamil Nadu,Virudhunagar,2017,31.4,87.39,41.11,82.16,33.31,43.65,55.77
Madhya Pradesh,Shahdol,2023,63.97,66.36,77.8,46.99,72.46,18.39,54.08
Gujarat,Narmada,2023,18.02,75.56,95.37,22.54,11.26,45.28,39.92
Bihar,Lakhisarai,2017,73.13,28.63,49.44,98.6,18.01,95.08,95.01
Gujarat,Mehsana,2023,22.25,73.48,76.38,95.29,74.47,92.42,60.77
Punjab,Amritsar,2015,56.23,90.83,93.64,65.94,10.85,23.45,76.86
Nagaland,Zunheboto,2017,94.09,10.15,74.03,21.82,78.51,39.46,11.03
Bihar,Siwan,2020,52.83,49.22,12.72,92.41,21.61,92.81,95.26
Mizoram,Lawngtlai,2024,60.77,65.3,60.05,44.49,17.51,56.19,32.99
Rajasthan,Jaipur,2019,96.6,43.12,23.28,77.23,64.08,32.39,96.93
Assam,Nalbari,2022,94.51,34.68,31.43,18.86,67.68,17.62,88.32
Madhya Pradesh,Dhar,2023,92.56,23.12,40.09,31.96,89.78,53.77,12.77
Karnataka,Mandya,2016,14.61,42.86,83.62,12.9,76.56,32.97,74.27
Gujarat,Amreli,2020,51.34,15.68,18.4,98.71,88.99,20.45,25.37
Punjab,Fazilka,2023,88.54,21.39,99.36,70.04,82.25,76.1,94.94
Gujarat,Bharuch,2024,60.29,35.4,64.41,33.57,21.25,94.13,94.74
Uttarakhand,Nainital,2018,22.13,16.21,73.47,39.56,70.28,24.92,55.18
Bihar,Saran,2015,54.0,87.27,65.11,73.93,16.84,54.02,89.89
Assam,Nagaon,2020,85.07,56.3,74.77,83.4,74.77,96.01,94.23
Himachal Pradesh,Solan,2018,30.75,32.19,23.55,96.77,50.85,94.49,82.17
Meghalaya,North Garo Hills,2025,73.34,10.43,38.62,45.35,51.47,81.96,92.26
Gujarat,Panchmahal,2023,40.18,60.34,39.03,87.15,48.36,18.48,47.71
Jharkhand,Deoghar,2016,70.09,43.64,12.76,92.13,15.67,82.91,51.8
Andhra Pradesh,Sri Sathya Sai,2019,86.38,34.94,48.5,55.05,77.87,76.04,34.46
Manipur,Tengnoupal,2025,87.14,54.81,53.32,41.5,32.44,31.3,62.26
Uttarakhand,Nainital,2023,67.34,69.52,37.24,12.71,95.54,96.69,55.16
Kerala,Kottayam,2024,76.63,73.99,52.32,83.69,81.71,25.86,45.38
Rajasthan,Tonk,2024,30.98,65.61,82.36,33.0,41.44,17.09,37.75
Madhya Pradesh,Maihar,2016,33.73,26.4,43.32,88.29,20.05,31.07,99.16
Maharashtra,Parbhani,2021,65.63,20.62,36.74,36.21,94.76,82.78,59.8
Rajasthan,Pali,2019,78.17,99.3,82.85,77.61,85.5,23.23,39.44
Chhattisgarh,Sukma,2015,85.22,39.09,55.48,52.24,50.99,13.29,59.71
Odisha,Sundargarh,2019,71.2,34.79,50.69,70.58,30.25,20.04,31.69
Kerala,Malappuram,2016,21.72,16.03,77.57,34.82,49.63,98.99,32.07
Meghalaya,East Garo Hills,2018,90.84,46.7,43.7,95.42,98.9,34.65,62.83
Andhra Pradesh,Alluri Sitharama Raju,2018,20.35,96.58,82.46,97.74,28.97,22.01,59.75
Madhya Pradesh,Sehore,2015,22.88,87.72,57.04,61.74,27.99,71.63,50.16
Punjab,Ludhiana,2021,92.21,77.53,74.27,84.05,56.15,83.27,47.32
Odisha,Kendujhar (Keonjhar),2024,97.52,56.87,25.96,92.83,18.27,12.21,56.18
West Bengal,Kolkata,2020,25.89,46.01,42.29,95.45,47.66,85.65,62.78
Jharkhand,East Singhbhum,2023,82.25,76.58,23.65,97.67,84.72,14.67,10.95
Karnataka,Mandya,2017,27.14,62.75,25.56,89.91,89.0,48.82,14.63
Madhya Pradesh,Dewas,2020,91.09,42.75,26.09,77.38,97.06,79.34,22.5
Bihar,Darbhanga,2015,44.04,86.08,42.32,91.51,21.96,93.18,22.43
Kerala,Palakkad,2023,59.33,55.84,40.9,92.68,91.83,91.54,62.59
Telangana,Warangal,2021,27.48,51.19,91.05,27.93,83.01,42.49,13.27
Haryana,Sonipat,2016,44.36,41.62,11.7,53.19,39.0,61.48,48.01
Uttar Pradesh,Mirzapur,2019,22.19,55.34,91.36,41.22,69.85,24.64,50.92
Uttar Pradesh,Barabanki,2019,28.86,66.02,87.57,95.82,87.61,85.22,45.18
Mizoram,Serchhip,2015,72.06,39.16,34.76,46.77,10.54,89.61,23.65
Telangana,Khammam,2021,87.65,78.99,84.11,53.56,87.39,31.22,78.42
Maharashtra,Akola,2015,29.93,49.7,70.38,25.85,28.54,64.52,19.35
Telangana,Siddipet,2016,43.22,50.14,22.54,18.25,24.22,38.04,97.87
Tamil Nadu,Tirupathur,2018,11.74,14.48,89.5,27.34,65.58,71.3,94.82
Bihar,East Champaran,2018,85.96,81.5,10.05,94.32,90.57,90.72,11.0
Assam,Kamrup Metropolitan,2018,70.24,43.58,80.55,93.39,65.53,57.55,64.05
Uttar Pradesh,Saharanpur,2024,90.59,39.55,50.55,45.16,26.48,57.11,45.87
Arunachal Pradesh,East Siang,2015,94.2,45.82,91.01,13.59,56.26,12.79,83.02
Jharkhand,Seraikela-Kharsawan,2024,75.23,94.97,41.14,21.91,47.66,97.36,32.47
Himachal Pradesh,Mandi,2015,40.14,62.67,50.81,25.39,48.06,87.52,73.52
West Bengal,Nadia,2023,29.01,55.92,56.9,49.5,75.47,18.54,81.24
Arunachal Pradesh,Dibang Valley,2021,96.93,70.99,84.66,33.2,94.72,31.18,77.38
Andhra Pradesh,Parvathipuram Manyam,2019,88.8,31.81,50.8,31.82,98.94,91.57,62.65
Arunachal Pradesh,Tawang,2018,55.75,61.32,37.99,38.32,96.35,56.67,83.42
Haryana,Bhiwani,2017,16.51,75.51,14.99,76.92,45.51,24.18,64.59
West Bengal,Birbhum,2017,36.62,85.44,14.1,43.65,90.29,72.92,94.81
Madhya Pradesh,Sheopur,2017,91.03,44.9,29.34,36.13,96.27,49.19,44.13
Rajasthan,Barmer,2024,85.36,23.28,30.34,37.58,16.24,83.94,65.56
Odisha,Cuttack,2021,62.99,58.73,22.38,22.36,72.89,61.76,11.47
Maharashtra,Kolhapur,2020,97.55,74.95,99.74,36.09,50.16,82.82,42.65
Uttar Pradesh,Balrampur,2024,17.43,97.77,66.08,64.97,25.09,34.18,49.17
Mizoram,Khawzawl,2016,75.87,95.19,11.28,37.07,47.86,17.42,46.96
Uttarakhand,Almora,2022,94.97,50.88,95.32,16.61,76.64,93.58,42.46
Manipur,Thoubal,2025,24.07,96.73,17.44,39.23,66.55,21.88,70.13
Tamil Nadu,Tiruvannamalai,2016,74.57,88.93,81.42,81.03,45.01,23.57,57.17
Uttar Pradesh,Farrukhabad,2022,21.77,93.42,76.07,28.36,47.51,86.89,72.17
Mizoram,Kolasib,2021,41.46,46.12,71.91,93.4,60.16,51.99,81.73
Madhya Pradesh,Hoshangabad (Narmadapuram),2024,37.13,53.68,13.29,81.64,47.88,40.69,11.09
Madhya Pradesh,Umaria,2021,55.0,45.49,21.28,85.18,37.13,14.85,80.62
Rajasthan,Anupgarh,2016,39.63,34.38,27.96,73.06,58.66,23.92,47.61
Uttar Pradesh,Ghazipur,2021,45.03,81.73,38.55,66.06,61.2,36.01,19.02
Meghalaya,West Garo Hills,2019,83.2,38.59,27.49,41.68,21.68,23.78,65.09
Uttar Pradesh,Ghazipur,2016,69.56,13.12,35.58,84.26,38.07,34.57,89.07
Arunachal Pradesh,Siang,2022,73.8,61.18,93.46,29.52,90.34,51.99,89.75
West Bengal,Bankura,2015,78.75,43.61,99.95,55.02,18.11,68.24,91.42
Gujarat,Bhavnagar,2023,11.37,85.63,97.2,69.87,47.61,86.69,72.67
Assam,Dibrugarh,2020,37.15,21.38,51.92,94.14,49.22,25.92,80.99
Manipur,Imphal West,2022,29.72,47.23,64.43,63.39,95.15,89.44,96.41
Arunachal Pradesh,Lower Siang,2016,50.19,88.41,81.72,61.86,43.2,65.35,32.85
Madhya Pradesh,Hoshangabad (Narmadapuram),2018,75.65,50.25,51.14,95.77,95.38,15.03,99.83
Maharashtra,Solapur,2022,78.98,97.01,25.22,69.71,95.15,28.03,87.77
Uttar Pradesh,Basti,2022,82.1,41.88,29.73,11.86,78.36,63.35,52.73
Manipur,Senapati,2025,63.39,41.66,87.29,57.59,87.3,84.18,72.9
Haryana,Kurukshetra,2020,13.26,65.01,71.21,92.77,86.41,53.34,47.18
Himachal Pradesh,Solan,2025,32.57,57.64,25.74,27.66,30.36,31.26,30.48
Odisha,Sundargarh,2017,32.49,14.42,35.8,81.4,31.03,15.42,34.17
Bihar,Sheikhpura,2021,31.69,12.28,82.81,30.0,75.14,46.09,89.38
Bihar,Sitamarhi,2017,83.02,94.54,22.89,72.77,72.24,48.08,21.33
Bihar,Madhepura,2016,38.25,43.5,77.79,49.09,23.1,96.45,73.04
Uttar Pradesh,Basti,2025,44.51,82.18,41.6,72.67,96.14,61.29,52.33
Madhya Pradesh,Anuppur,2015,52.1,35.66,59.06,63.24,15.35,85.75,95.67
Gujarat,Dahod,2019,46.07,87.04,35.65,47.98,65.22,28.72,38.29
Telangana,Peddapalli,2022,27.03,88.98,36.16,12.91,16.93,71.31,28.4
Telangana,Narayanpet,2016,47.91,71.2,29.15,81.31,21.06,85.98,70.37
Chhattisgarh,Kondagaon,2016,76.03,60.94,58.49,18.77,71.7,27.7,83.4
Gujarat,Kutch,2022,52.16,99.93,40.48,44.67,75.29,82.03,21.39
Chhattisgarh,Dhamtari,2019,76.29,16.99,24.95,83.98,16.85,77.79,31.31
Haryana,Kurukshetra,2021,30.16,11.27,84.14,17.49,35.52,42.45,36.09
Rajasthan,Jhunjhunu,2016,42.1,13.36,43.64,82.01,60.34,53.7,13.34
Uttar Pradesh,Sambhal,2020,38.32,50.45,57.07,17.31,72.41,90.8,34.09
Madhya Pradesh,Khandwa,2019,37.33,82.32,76.44,26.55,60.4,26.34,52.37
Maharashtra,Satara,2021,48.55,44.45,43.16,49.73,38.46,83.38,80.75
Madhya Pradesh,Tikamgarh,2023,54.91,71.46,75.24,38.15,55.04,88.61,53.09
Tamil Nadu,Ariyalur,2016,88.69,75.85,63.67,65.18,79.73,94.86,96.09
West Bengal,Paschim Bardhaman,2025,10.8,58.2,31.66,15.29,96.28,55.8,39.58
West Bengal,Jalpaiguri,2017,65.94,93.12,67.25,84.02,47.57,25.29,77.17
Karnataka,Mysuru,2022,54.78,82.31,17.57,19.06,77.14,33.06,36.96
Assam,Dibrugarh,2021,30.31,66.33,34.72,32.04,43.26,58.18,60.58
Madhya Pradesh,Agar Malwa,2015,84.2,78.7,50.01,39.54,53.81,67.45,58.41
Assam,Morigaon,2024,83.8,14.52,66.54,94.22,67.25,59.52,81.28
Bihar,Muzaffarpur,2025,39.28,25.52,13.99,35.89,70.41,51.46,93.16
Madhya Pradesh,Neemuch,2023,42.19,68.77,90.53,90.37,65.53,48.32,54.23
Uttar Pradesh,Hapur,2024,48.4,31.58,76.13,89.16,56.06,78.79,15.23
Bihar,Munger,2020,42.08,45.45,98.98,72.39,83.48,76.08,17.52
Odisha,Koraput,2023,53.07,55.78,92.42,65.37,71.7,91.45,27.6
Bihar,Khagaria,2018,56.13,65.98,45.91,75.11,30.17,79.44,22.22
Assam,Karbi Anglong,2019,37.37,66.1,85.48,66.45,89.11,13.98,96.89
Rajasthan,Gangapur City,2015,73.6,99.7,21.92,64.92,32.04,90.04,67.07
Uttar Pradesh,Hamirpur,2016,94.52,87.2,44.88,44.42,97.09,94.08,62.52
West Bengal,Alipurduar,2022,91.75,17.63,51.93,30.55,30.25,90.87,12.98
Madhya Pradesh,Seoni,2016,40.85,50.08,32.54,85.86,14.74,18.97,61.76
Arunachal Pradesh,Papum Pare,2024,19.48,36.04,85.29,13.53,41.56,82.42,45.73
Tamil Nadu,Chengalpattu,2016,84.94,60.4,32.92,19.47,59.81,27.97,40.64
Haryana,Gurugram,2017,10.55,23.33,79.04,89.55,19.52,95.77,43.25
Sikkim,Pakyong,2018,49.13,98.32,35.78,92.85,13.62,37.29,76.71
Punjab,Moga,2017,77.24,21.0,77.83,50.54,79.92,71.72,31.3
West Bengal,Kolkata,2021,16.27,90.31,16.5,40.76,34.9,54.99,60.36
Madhya Pradesh,Vidisha,2018,74.12,10.42,31.75,42.55,86.57,81.5,72.43
Uttar Pradesh,Gautam Buddha Nagar,2019,62.02,75.58,21.24,37.37,29.51,36.64,95.27
Uttar Pradesh,Muzaffarnagar,2022,35.21,36.72,91.62,63.12,59.54,47.91,56.57
Nagaland,Mokokchung,2023,24.49,11.95,49.42,39.37,46.75,33.95,11.01
Maharashtra,Ratnagiri,2021,70.36,97.4,14.08,28.83,84.76,97.3,64.47
Mizoram,Hnahthial,2016,60.51,75.25,39.14,44.47,82.09,62.28,94.24
Odisha,Balasore,2017,84.07,81.94,33.88,93.79,48.15,32.81,17.41
Telangana,Sangareddy,2022,51.25,80.88,46.45,34.74,27.31,83.09,18.19
Madhya Pradesh,Mandla,2023,94.7,87.25,65.52,25.28,18.45,15.78,68.77
Uttar Pradesh,Chitrakoot,2017,74.84,58.81,70.18,27.03,72.4,11.51,41.88
Haryana,Yamunanagar,2016,40.97,56.33,92.91,94.75,84.32,87.65,36.91
Rajasthan,Nagaur,2019,14.68,40.94,36.22,82.73,37.94,84.41,45.97
Chhattisgarh,Dhamtari,2015,95.23,62.3,88.67,40.37,46.38,67.28,71.12
Uttar Pradesh,Chandauli,2022,58.33,29.99,16.16,94.06,74.0,29.24,49.73
Maharashtra,Beed,2018,21.78,88.18,64.05,11.17,42.25,93.88,80.03
Manipur,Imphal West,2023,85.4,19.15,29.99,16.86,62.65,70.75,23.76
Rajasthan,Gangapur City,2022,28.19,37.34,52.9,62.21,89.14,96.05,25.02
Uttar Pradesh,Hapur,2016,39.1,24.26,47.26,71.86,51.27,54.45,77.85
Madhya Pradesh,Mandsaur,2022,15.31,98.4,86.51,69.4,92.96,36.83,91.03
Kerala,Malappuram,2024,85.78,81.51,41.82,17.99,16.26,58.4,80.67
Madhya Pradesh,Khandwa,2020,66.57,86.45,98.79,61.87,68.26,63.28,98.57
Bihar,Saharsa,2016,64.98,11.26,30.65,10.36,60.82,39.44,55.67
Punjab,Ferozepur,2019,81.35,24.04,50.02,16.31,49.61,13.78,75.87
Haryana,Gurugram,2022,21.03,66.78,70.78,64.13,68.46,74.21,23.24
Uttar Pradesh,Basti,2021,57.37,50.37,33.92,94.49,34.99,29.25,48.28
Assam,Dibrugarh,2021,47.63,15.71,78.48,71.03,65.58,38.84,33.13
Haryana,Panchkula,2023,49.28,60.1,61.55,95.58,17.02,53.06,69.72
Tripura,Sepahijala,2022,96.07,74.39,43.49,13.64,36.64,84.47,42.79
Andhra Pradesh,East Godavari,2019,78.95,60.76,80.4,44.02,78.05,46.46,19.17
Bihar,Gaya,2018,50.62,80.86,49.78,14.5,88.86,38.93,25.16
Telangana,Nagarkurnool,2016,15.22,77.43,39.98,99.49,40.07,48.52,66.59
Uttar Pradesh,Chandauli,2024,34.65,53.23,59.24,74.7,14.07,52.16,29.81
Maharashtra,Hingoli,2021,51.8,42.11,67.93,34.39,18.81,77.61,91.26
Uttar Pradesh,Amethi,2023,83.6,34.13,61.71,83.22,97.09,86.65,60.2
Jharkhand,Lohardaga,2016,74.88,88.97,91.96,85.93,44.8,19.69,64.94
Haryana,Gurugram,2018,53.27,86.06,41.2,75.44,39.4,43.57,46.92
Assam,Nalbari,2025,62.64,49.08,12.53,12.41,18.45,57.36,38.22
Kerala,Palakkad,2016,69.04,82.44,46.12,16.09,28.85,82.47,40.6
Uttar Pradesh,Ghaziabad,2017,24.2,20.68,81.74,19.88,60.18,84.53,11.16
Uttar Pradesh,Baghpat,2023,67.77,77.7,12.16,65.48,61.4,18.6,96.77
Tamil Nadu,Kanchipuram,2019,52.05,59.25,54.94,61.67,38.89,55.88,23.98
Telangana,Bhadradri Kothagudem,2024,17.33,46.43,12.14,20.8,69.82,92.88,18.25
Uttar Pradesh,Jalaun,2015,96.25,94.59,63.51,96.41,67.35,11.28,39.6
Tamil Nadu,Thanjavur,2018,71.79,78.61,85.38,97.07,16.54,45.63,28.01
Jharkhand,Godda,2015,97.21,39.85,58.27,56.62,74.84,85.38,96.25
Uttar Pradesh,Etawah,2015,82.33,55.63,22.55,93.37,68.05,66.67,26.06
Madhya Pradesh,Raisen,2018,56.77,52.11,35.3,30.29,10.74,31.4,16.02
Maharashtra,Gondia,2022,93.38,71.46,69.04,96.6,46.99,78.14,24.39
Assam,Kamrup,2019,93.38,13.38,97.32,78.55,51.39,72.95,48.92
Assam,Lakhimpur,2019,84.04,54.27,56.48,69.96,22.87,23.54,84.26
Arunachal Pradesh,Lower Siang,2020,58.75,97.11,81.38,65.48,41.77,72.68,59.47
Sikkim,Mangan,2017,70.21,99.53,61.98,96.46,52.8,61.9,21.75
Odisha,Sundargarh,2017,62.97,31.91,62.96,58.34,59.84,48.98,46.41
Madhya Pradesh,Vidisha,2018,18.77,22.3,98.49,23.14,68.89,44.9,36.7
Uttar Pradesh,Hapur,2016,24.88,43.23,83.22,31.5,40.57,77.43,72.38
Madhya Pradesh,Sidhi,2015,63.84,81.72,89.18,94.94,13.68,44.68,20.83
Andhra Pradesh,Sri Sathya Sai,2025,76.12,86.37,36.78,20.51,51.6,78.07,96.74
Gujarat,Jamnagar,2025,24.45,18.99,69.96,16.21,31.15,17.24,67.76
Arunachal Pradesh,Namsai,2020,90.17,14.49,51.35,61.68,41.58,46.3,42.42
Tripura,Sepahijala,2022,61.09,11.38,73.37,86.79,18.45,77.84,89.97
Karnataka,Shivamogga,2021,20.5,44.37,33.48,52.33,52.2,44.99,28.14
Odisha,Mayurbhanj,2022,53.04,98.03,39.35,46.71,93.71,69.47,71.02
Odisha,Malkangiri,2018,17.17,68.59,41.03,68.74,98.31,27.85,56.11
Uttar Pradesh,Hathras,2022,54.15,40.53,68.69,20.24,56.57,31.8,51.08
Jharkhand,Seraikela-Kharsawan,2017,27.12,56.69,25.26,67.49,45.72,69.66,96.4
Bihar,Gopalganj,2021,25.57,44.2,86.17,62.43,98.03,94.05,52.66
Tripura,North Tripura,2020,90.98,34.56,56.94,66.06,99.52,82.03,81.04
Jharkhand,Koderma,2017,48.81,49.32,22.68,35.52,89.93,74.53,23.22
Madhya Pradesh,Harda,2021,17.35,80.16,32.83,66.73,47.87,41.76,12.13
Haryana,Yamunanagar,2022,29.04,86.07,43.74,50.6,45.2,92.61,49.53
Bihar,Patna,2019,46.43,32.69,85.72,30.71,47.93,94.97,16.79
Himachal Pradesh,Hamirpur,2017,86.83,57.04,35.63,18.41,64.2,22.0,43.19
Madhya Pradesh,Satna,2018,77.7,27.22,96.07,12.82,87.34,13.58,23.45
Uttar Pradesh,Saharanpur,2015,53.51,85.66,83.32,79.77,69.91,82.26,12.52
Madhya Pradesh,Narsinghpur,2019,78.63,57.16,56.32,11.65,91.45,84.36,32.85
Gujarat,Panchmahal,2019,15.06,48.47,13.42,90.0,51.13,54.81,77.45
Andhra Pradesh,Parvathipuram Manyam,2015,70.58,92.03,66.26,70.38,96.86,31.33,70.55
Assam,Nagaon,2018,87.58,15.69,90.46,42.28,26.73,96.15,32.99
Odisha,Sundargarh,2016,39.67,26.41,35.09,42.19,69.95,47.49,19.09
Gujarat,Bhavnagar,2020,45.03,67.0,23.1,66.57,24.56,79.24,46.01
Maharashtra,Ratnagiri,2017,42.5,79.7,43.04,82.69,64.34,25.47,45.93
Haryana,Bhiwani,2025,16.41,96.25,86.4,91.53,84.24,64.23,82.57
Assam,West Karbi Anglong,2017,34.66,40.17,30.55,15.29,18.6,79.73,58.67
Manipur,Kakching,2022,67.73,49.75,74.28,36.1,34.88,95.86,73.07
West Bengal,Dakshin Dinajpur,2020,17.38,15.9,98.91,86.48,26.54,47.23,94.43
Andhra Pradesh,Srikakulam,2018,21.72,74.85,62.28,34.68,29.01,38.87,13.4
Tripura,Khowai,2020,21.24,39.21,70.07,40.96,43.69,27.42,69.08
Assam,South Salmara-Mankachar,2024,76.67,78.99,94.65,79.66,38.65,89.44,96.83
Nagaland,Tuensang,2019,31.08,18.01,93.59,33.14,34.29,24.5,65.8
Uttar Pradesh,Auraiya,2021,57.22,53.89,99.21,59.97,40.73,64.23,72.24
Gujarat,Ahmedabad,2021,32.4,83.89,37.29,80.62,48.13,63.95,38.85
Himachal Pradesh,Una,2024,30.63,99.72,45.79,97.77,21.73,29.03,11.38
Tamil Nadu,Namakkal,2018,35.4,72.94,91.64,96.77,11.06,66.54,21.5
Uttar Pradesh,Bahraich,2016,91.54,81.21,35.84,25.03,15.82,33.02,63.37
Uttar Pradesh,Jaunpur,2023,23.46,92.45,61.6,80.95,27.5,56.89,15.62
Tamil Nadu,Sivaganga,2020,29.86,11.15,90.33,15.99,46.38,73.16,94.0
Assam,South Salmara-Mankachar,2020,27.43,10.83,35.46,55.51,34.6,18.89,91.44
Telangana,Nizamabad,2015,20.8,23.71,85.53,38.99,41.91,53.45,81.29
Arunachal Pradesh,Upper Subansiri,2017,70.86,34.79,85.83,64.85,43.73,11.41,22.88
Andhra Pradesh,Nandyal,2015,46.69,53.76,90.87,18.73,71.35,13.45,99.09
Gujarat,Tapi,2018,12.97,97.88,70.24,93.5,34.86,27.75,13.3
Meghalaya,North Garo Hills,2017,94.69,73.71,42.54,91.05,51.87,27.98,28.4
Maharashtra,Beed,2021,51.46,71.79,16.0,31.97,29.18,29.01,59.87
Gujarat,Kutch,2024,10.32,83.87,28.86,75.49,48.08,19.06,65.42
Madhya Pradesh,Chhindwara,2021,92.31,53.0,59.29,49.39,56.28,75.91,77.43
Uttar Pradesh,Hapur,2025,46.7,51.02,40.21,71.48,16.38,16.19,85.32
Arunachal Pradesh,Kamle,2015,90.12,93.84,46.15,50.62,99.33,17.71,86.78
Maharashtra,Ahmednagar,2017,73.39,42.0,60.16,26.44,77.3,69.73,83.88
Maharashtra,Nandurbar,2018,97.38,53.72,87.61,94.22,87.24,80.41,46.21
Maharashtra,Bhandara,2015,37.67,68.19,64.46,99.61,86.9,60.28,10.43
Haryana,Kurukshetra,2015,97.49,23.96,58.83,19.54,26.89,32.95,70.48
Chhattisgarh,Rajnandgaon,2016,52.46,14.37,94.65,33.1,24.81,15.88,15.56
Uttar Pradesh,Gorakhpur,2023,60.2,41.65,45.46,50.96,86.98,56.2,46.12
Jharkhand,Bokaro,2019,72.76,39.36,67.23,31.3,15.48,93.04,23.5
Jharkhand,Bokaro,2020,48.65,75.84,90.27,70.3,50.46,96.63,78.5
Nagaland,Chümoukedima,2025,19.47,87.23,54.38,25.54,35.94,38.59,79.0
Manipur,Ukhrul,2024,79.3,56.33,62.58,62.64,57.33,40.6,72.84
Sikkim,Mangan,2015,57.97,95.4,68.52,42.53,64.06,96.73,43.06
Madhya Pradesh,Raisen,2019,78.02,70.83,98.84,51.9,21.72,80.99,61.77
Chhattisgarh,Sakti,2022,80.86,13.16,48.8,54.02,21.08,51.25,39.47
Telangana,Suryapet,2022,36.34,51.87,23.79,86.57,11.4,24.55,60.44
Telangana,Bhadradri Kothagudem,2015,40.41,97.85,95.7,17.95,47.13,32.38,26.66
